phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.100, 0.922, 0.946
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.1, 0.1, 1.000, 0.110, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.100, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.1, 0.1, 0.818, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.1, 0.1, 1.000, 0.110, 0.922, 0.946
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.110, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.1, 0.1, 1.000, 0.110, 0.922, 0.946
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.100, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.120, 0.502, 0.982
