phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.109, 0.338, 0.911
0.0, 0.3, 0.0, 0.333, 0.073, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.073, 0.338, 0.911
0.0, 0.0, 0.8, 0.700, 0.127, 0.338, 0.911
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.333, 0.073, 0.502, 0.982
0.0, 0.3, 0.0, 0.167, 0.036, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.1, 0.1, 0.364, 0.073, 0.922, 0.946
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.127, 0.338, 0.911
0.0, 0.0, 0.8, 0.300, 0.055, 0.338, 0.911
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
0.0, 0.1, 0.1, 0.273, 0.055, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.164, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.073, 0.338, 0.911
0.0, 0.1, 0.1, 0.364, 0.073, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.400, 0.073, 0.338, 0.911
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.164, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.182, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.0, 0.8, 0.300, 0.055, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.600, 0.109, 0.338, 0.911
0.0, 0.1, 0.1, 0.636, 0.127, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.127, 0.338, 0.911
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.164, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.145, 0.922, 0.946
0.0, 0.0, 0.8, 0.300, 0.055, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.127, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
0.0, 0.1, 0.1, 0.273, 0.055, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.127, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.1, 0.1, 0.636, 0.127, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.333, 0.073, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.109, 0.338, 0.911
0.0, 0.1, 0.1, 0.364, 0.073, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.1, 0.1, 0.455, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.145, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.145, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.182, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.109, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.600, 0.109, 0.338, 0.911
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
0.0, 0.1, 0.1, 0.273, 0.055, 0.922, 0.946
0.0, 0.0, 0.8, 0.600, 0.109, 0.338, 0.911
0.0, 0.3, 0.0, 0.333, 0.073, 0.502, 0.982
0.0, 0.3, 0.0, 0.250, 0.055, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.109, 0.922, 0.946
