phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.141, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.1, 0.1, 0.818, 0.115, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.064, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.090, 0.338, 0.911
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.077, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.064, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.0, 0.8, 0.800, 0.103, 0.338, 0.911
0.0, 0.3, 0.0, 0.917, 0.141, 0.502, 0.982
0.0, 0.1, 0.1, 0.455, 0.064, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.154, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.077, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.3, 0.0, 0.917, 0.141, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.077, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.064, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.064, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.051, 0.338, 0.911
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.051, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.1, 0.1, 1.000, 0.141, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.141, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.3, 0.0, 0.917, 0.141, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.077, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.128, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.077, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.0, 0.8, 1.000, 0.128, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.103, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.128, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.128, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.128, 0.922, 0.946
0.0, 0.1, 0.1, 0.727, 0.103, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.115, 0.502, 0.982
