phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.1, 0.1, 0.818, 0.101, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.101, 0.502, 0.982
0.0, 0.3, 0.0, 1.000, 0.135, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.124, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.101, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.124, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.101, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.090, 0.922, 0.946
0.0, 0.3, 0.0, 0.917, 0.124, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.101, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.917, 0.124, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.067, 0.502, 0.982
0.0, 0.0, 0.8, 0.900, 0.101, 0.338, 0.911
0.0, 0.1, 0.1, 0.818, 0.101, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.112, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.090, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.112, 0.502, 0.982
0.0, 0.1, 0.1, 0.909, 0.112, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.101, 0.502, 0.982
