phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.1, 0.1, 0.818, 0.136, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.076, 0.338, 0.911
0.0, 0.3, 0.0, 0.833, 0.152, 0.502, 0.982
0.0, 0.1, 0.1, 0.455, 0.076, 0.922, 0.946
0.0, 0.1, 0.1, 0.818, 0.136, 0.922, 0.946
0.0, 0.0, 0.8, 0.700, 0.106, 0.338, 0.911
0.0, 0.1, 0.1, 0.818, 0.136, 0.922, 0.946
0.0, 0.1, 0.1, 0.727, 0.121, 0.922, 0.946
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.076, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.1, 0.1, 0.455, 0.076, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.061, 0.338, 0.911
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.0, 0.8, 0.300, 0.045, 0.338, 0.911
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.076, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.091, 0.338, 0.911
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.121, 0.922, 0.946
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.3, 0.0, 0.833, 0.152, 0.502, 0.982
0.0, 0.0, 0.8, 1.000, 0.152, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.152, 0.502, 0.982
0.0, 0.0, 0.8, 0.800, 0.121, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.106, 0.338, 0.911
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.1, 0.1, 0.455, 0.076, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.076, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.0, 0.8, 0.600, 0.091, 0.338, 0.911
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.333, 0.061, 0.502, 0.982
0.0, 0.3, 0.0, 0.833, 0.152, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.1, 0.1, 0.727, 0.121, 0.922, 0.946
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.1, 0.1, 0.727, 0.121, 0.922, 0.946
0.0, 0.0, 0.8, 0.400, 0.061, 0.338, 0.911
0.0, 0.1, 0.1, 0.727, 0.121, 0.922, 0.946
0.0, 0.3, 0.0, 0.917, 0.167, 0.502, 0.982
0.0, 0.0, 0.8, 0.800, 0.121, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.0, 0.8, 0.900, 0.136, 0.338, 0.911
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.1, 0.1, 0.818, 0.136, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.061, 0.338, 0.911
0.0, 0.3, 0.0, 0.833, 0.152, 0.502, 0.982
0.0, 0.1, 0.1, 0.273, 0.045, 0.922, 0.946
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.0, 0.8, 0.700, 0.106, 0.338, 0.911
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.061, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.091, 0.922, 0.946
0.0, 0.3, 0.0, 0.500, 0.091, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.0, 0.8, 0.500, 0.076, 0.338, 0.911
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.583, 0.106, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.1, 0.1, 0.818, 0.136, 0.922, 0.946
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.106, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.076, 0.338, 0.911
0.0, 0.3, 0.0, 0.417, 0.076, 0.502, 0.982
0.0, 0.3, 0.0, 0.750, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.667, 0.121, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.076, 0.502, 0.982
0.0, 0.0, 0.8, 0.700, 0.106, 0.338, 0.911
