phone_threshold,name_threshold,address_threshold,training_data_precision,training_data_recall,test_data_precision,test_data_recall
1.0, 0.1, 0.0, 0.865, 0.960, 0.947, 0.964
0.1, 0.1, 0.0, 0.891, 0.980, 0.947, 0.964
1.0, 0.1, 0.0, 0.881, 0.960, 0.947, 0.964
1.0, 0.3, 0.0, 0.873, 0.960, 0.946, 0.946
1.0, 0.1, 0.0, 0.889, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.858, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.907, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.864, 0.950, 0.947, 0.955
1.0, 0.1, 0.0, 0.873, 0.960, 0.947, 0.964
0.1, 0.2, 0.0, 0.882, 0.970, 0.947, 0.955
1.0, 0.2, 0.0, 0.888, 0.950, 0.947, 0.955
1.0, 0.1, 0.0, 0.865, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.907, 0.970, 0.947, 0.955
1.0, 0.2, 0.0, 0.865, 0.960, 0.947, 0.955
1.0, 0.1, 0.0, 0.842, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.864, 0.950, 0.947, 0.955
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
0.0, 0.2, 0.1, 0.888, 0.950, 0.938, 0.938
0.0, 0.2, 0.1, 0.880, 0.950, 0.938, 0.938
1.0, 0.1, 0.0, 0.898, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.889, 0.960, 0.947, 0.955
1.0, 0.1, 0.0, 0.890, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.856, 0.950, 0.947, 0.955
1.0, 0.1, 0.0, 0.899, 0.980, 0.947, 0.964
1.0, 0.1, 0.0, 0.865, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.865, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
0.1, 0.1, 0.0, 0.851, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.897, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.865, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.873, 0.960, 0.947, 0.955
1.0, 0.1, 0.0, 0.889, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.857, 0.960, 0.947, 0.955
0.1, 0.3, 0.0, 0.873, 0.960, 0.946, 0.946
1.0, 0.1, 0.0, 0.873, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.841, 0.950, 0.947, 0.955
0.1, 0.2, 0.0, 0.916, 0.980, 0.947, 0.955
1.0, 0.1, 0.0, 0.881, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.873, 0.960, 0.947, 0.955
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.880, 0.950, 0.947, 0.955
1.0, 0.1, 0.0, 0.857, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.866, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.882, 0.970, 0.947, 0.955
0.1, 0.1, 0.0, 0.866, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.858, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.858, 0.970, 0.947, 0.964
0.1, 0.2, 0.0, 0.873, 0.960, 0.947, 0.955
1.0, 0.2, 0.0, 0.874, 0.970, 0.947, 0.955
1.0, 0.2, 0.0, 0.865, 0.960, 0.947, 0.955
1.0, 0.1, 0.0, 0.873, 0.960, 0.947, 0.964
0.1, 0.2, 0.0, 0.881, 0.960, 0.947, 0.955
0.1, 0.1, 0.0, 0.860, 0.980, 0.947, 0.964
1.0, 0.1, 0.0, 0.890, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.914, 0.960, 0.947, 0.964
1.0, 0.2, 0.0, 0.880, 0.950, 0.947, 0.955
0.1, 0.1, 0.0, 0.874, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.890, 0.970, 0.947, 0.955
1.0, 0.1, 0.0, 0.889, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.873, 0.960, 0.947, 0.964
1.0, 0.1, 0.0, 0.882, 0.970, 0.947, 0.964
1.0, 0.3, 0.0, 0.880, 0.950, 0.946, 0.946
0.1, 0.1, 0.0, 0.866, 0.970, 0.947, 0.964
