phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
1.0, 0.2, 0.0, 0.855, 0.946, 0.947, 0.955
0.1, 0.1, 0.0, 0.800, 1.000, 0.947, 0.964
1.0, 0.0, 0.0, 0.794, 0.964, 0.885, 0.964
0.1, 0.1, 0.0, 0.797, 0.982, 0.947, 0.964
1.0, 0.1, 0.0, 0.844, 0.964, 0.947, 0.964
0.0, 0.2, 0.1, 0.873, 0.982, 0.938, 0.938
0.1, 0.1, 0.0, 0.833, 0.982, 0.947, 0.964
0.0, 0.3, 0.4, 0.831, 0.964, 0.944, 0.902
1.0, 0.2, 0.0, 0.833, 0.982, 0.947, 0.955
0.0, 0.1, 0.3, 0.844, 0.964, 0.920, 0.929
1.0, 0.2, 0.0, 0.831, 0.964, 0.947, 0.955
0.2, 0.1, 0.0, 0.859, 0.982, 0.947, 0.964
0.0, 0.2, 0.7, 0.859, 0.982, 0.944, 0.902
1.0, 0.1, 0.0, 0.797, 0.982, 0.947, 0.964
0.3, 0.1, 0.0, 0.764, 0.982, 0.947, 0.964
0.3, 0.3, 0.0, 0.848, 1.000, 0.946, 0.946
1.0, 0.1, 0.0, 0.815, 0.946, 0.947, 0.964
1.0, 0.0, 0.0, 0.797, 0.982, 0.885, 0.964
1.0, 0.0, 0.0, 0.844, 0.964, 0.885, 0.964
1.0, 0.1, 0.0, 0.859, 0.982, 0.947, 0.964
0.0, 0.2, 0.1, 0.803, 0.946, 0.938, 0.938
1.0, 0.1, 0.0, 0.809, 0.982, 0.947, 0.964
1.0, 0.2, 0.0, 0.841, 0.946, 0.947, 0.955
1.0, 0.2, 0.0, 0.885, 0.964, 0.947, 0.955
1.0, 0.0, 0.0, 0.783, 0.964, 0.885, 0.964
1.0, 0.1, 0.0, 0.794, 0.964, 0.947, 0.964
0.0, 0.2, 0.5, 0.867, 0.929, 0.944, 0.911
1.0, 0.2, 0.0, 0.828, 0.946, 0.947, 0.955
1.0, 0.2, 0.0, 0.885, 0.964, 0.947, 0.955
0.1, 0.5, 0.0, 0.883, 0.946, 0.944, 0.902
0.1, 0.2, 0.0, 0.862, 1.000, 0.947, 0.955
0.1, 0.2, 0.0, 0.809, 0.982, 0.947, 0.955
1.0, 0.1, 0.0, 0.803, 0.946, 0.947, 0.964
0.2, 0.4, 0.0, 0.724, 0.982, 0.946, 0.938
0.0, 0.1, 0.7, 0.833, 0.982, 0.927, 0.911
0.0, 0.3, 0.3, 0.828, 0.946, 0.936, 0.911
1.0, 0.1, 0.0, 0.833, 0.982, 0.947, 0.964
1.0, 0.4, 0.0, 0.833, 0.982, 0.946, 0.938
0.1, 0.1, 0.0, 0.833, 0.982, 0.947, 0.964
0.0, 0.5, 0.1, 0.806, 0.964, 0.934, 0.884
0.0, 0.3, 0.3, 0.831, 0.964, 0.936, 0.911
1.0, 0.1, 0.0, 0.797, 0.982, 0.947, 0.964
0.1, 0.1, 0.0, 0.818, 0.964, 0.947, 0.964
1.0, 0.3, 0.0, 0.812, 0.929, 0.946, 0.946
1.0, 0.4, 0.2, 0.791, 0.946, 0.942, 0.866
0.2, 0.2, 0.0, 0.828, 0.946, 0.947, 0.955
1.0, 0.1, 0.0, 0.783, 0.964, 0.947, 0.964
1.0, 0.2, 0.0, 0.833, 0.982, 0.947, 0.955
0.1, 0.1, 0.0, 0.761, 0.964, 0.947, 0.964
0.1, 0.1, 0.0, 0.797, 0.982, 0.947, 0.964
1.0, 0.2, 0.0, 0.885, 0.964, 0.947, 0.955
0.0, 0.1, 0.4, 0.809, 0.982, 0.928, 0.920
1.0, 0.1, 0.0, 0.768, 0.946, 0.947, 0.964
0.1, 0.7, 0.0, 0.893, 0.893, 0.951, 0.866
0.1, 0.3, 0.0, 0.786, 0.982, 0.946, 0.946
1.0, 0.2, 0.0, 0.779, 0.946, 0.947, 0.955
1.0, 0.0, 0.0, 0.887, 0.982, 0.885, 0.964
0.1, 0.5, 0.0, 0.815, 0.946, 0.944, 0.902
1.0, 0.2, 0.0, 0.857, 0.964, 0.947, 0.955
1.0, 0.2, 0.0, 0.818, 0.964, 0.947, 0.955
0.1, 0.1, 0.4, 0.797, 0.982, 0.943, 0.884
1.0, 0.4, 0.0, 0.797, 0.982, 0.946, 0.938
1.0, 0.2, 0.0, 0.833, 0.982, 0.947, 0.955
1.0, 0.4, 0.0, 0.855, 0.946, 0.946, 0.938
1.0, 0.2, 0.0, 0.831, 0.964, 0.947, 0.955
0.1, 0.1, 0.0, 0.873, 0.982, 0.947, 0.964
0.3, 0.1, 0.1, 0.818, 0.964, 0.944, 0.911
0.1, 0.3, 0.0, 0.873, 0.982, 0.946, 0.946
1.0, 0.3, 0.0, 0.831, 0.964, 0.946, 0.946
0.0, 0.3, 0.7, 0.818, 0.964, 0.943, 0.893
0.1, 0.2, 0.0, 0.750, 0.964, 0.947, 0.955
1.0, 0.3, 0.0, 0.797, 0.982, 0.946, 0.946
1.0, 0.1, 0.0, 0.900, 0.964, 0.947, 0.964
0.1, 0.2, 0.0, 0.844, 0.964, 0.947, 0.955
1.0, 0.3, 0.0, 0.862, 1.000, 0.946, 0.946
0.1, 0.3, 0.0, 0.857, 0.964, 0.946, 0.946
0.1, 0.2, 0.0, 0.833, 0.982, 0.947, 0.955
0.0, 0.3, 0.5, 0.841, 0.946, 0.944, 0.902
0.0, 0.1, 0.5, 0.779, 0.946, 0.928, 0.920
0.1, 0.6, 0.0, 0.800, 0.929, 0.952, 0.884
1.0, 0.1, 0.0, 0.841, 0.946, 0.947, 0.964
1.0, 0.1, 0.0, 0.761, 0.964, 0.947, 0.964
1.0, 0.2, 0.0, 0.931, 0.964, 0.947, 0.955
0.1, 0.1, 0.0, 0.875, 1.000, 0.947, 0.964
0.1, 0.1, 0.0, 0.883, 0.946, 0.947, 0.964
1.0, 0.2, 0.0, 0.806, 0.964, 0.947, 0.955
0.0, 0.4, 0.1, 0.803, 0.946, 0.936, 0.920
1.0, 0.1, 0.0, 0.871, 0.964, 0.947, 0.964
0.3, 0.3, 0.0, 0.855, 0.946, 0.946, 0.946
0.0, 0.1, 0.1, 0.844, 0.964, 0.922, 0.946
1.0, 0.2, 0.0, 0.765, 0.929, 0.947, 0.955
1.0, 0.4, 0.0, 0.821, 0.982, 0.946, 0.938
0.0, 0.1, 0.1, 0.846, 0.982, 0.922, 0.946
1.0, 0.2, 0.0, 0.821, 0.982, 0.947, 0.955
0.1, 0.2, 0.0, 0.836, 1.000, 0.947, 0.955
0.1, 0.1, 0.1, 0.831, 0.964, 0.944, 0.911
1.0, 0.2, 0.0, 0.775, 0.982, 0.947, 0.955
1.0, 0.1, 0.0, 0.862, 1.000, 0.947, 0.964
0.1, 0.2, 0.0, 0.848, 1.000, 0.947, 0.955
1.0, 0.2, 0.0, 0.846, 0.982, 0.947, 0.955
0.1, 0.2, 0.0, 0.836, 1.000, 0.947, 0.955
