phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.4, 0.1, 0.835, 0.966, 0.936, 0.920
1.0, 0.2, 0.0, 0.840, 0.944, 0.947, 0.955
1.0, 0.1, 0.0, 0.835, 0.966, 0.947, 0.964
0.1, 0.3, 0.0, 0.871, 0.989, 0.946, 0.946
1.0, 0.3, 0.0, 0.819, 0.966, 0.946, 0.946
0.1, 0.1, 0.0, 0.845, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.821, 0.978, 0.947, 0.964
1.0, 0.2, 0.0, 0.835, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.860, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.860, 0.966, 0.947, 0.964
0.1, 0.7, 0.0, 0.871, 0.910, 0.951, 0.866
1.0, 0.2, 0.0, 0.850, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.835, 0.966, 0.947, 0.955
0.1, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.869, 0.966, 0.947, 0.964
0.0, 0.2, 0.8, 0.874, 0.933, 0.944, 0.902
1.0, 0.2, 0.0, 0.824, 0.944, 0.947, 0.955
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.861, 0.978, 0.947, 0.955
1.0, 0.1, 0.0, 0.837, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
0.0, 0.2, 0.1, 0.840, 0.944, 0.938, 0.938
1.0, 0.3, 0.0, 0.869, 0.966, 0.946, 0.946
1.0, 0.1, 0.0, 0.889, 0.989, 0.947, 0.964
1.0, 0.2, 0.0, 0.813, 0.978, 0.947, 0.955
0.0, 0.2, 0.1, 0.843, 0.966, 0.938, 0.938
0.0, 0.1, 0.1, 0.819, 0.966, 0.922, 0.946
1.0, 0.1, 0.0, 0.817, 0.955, 0.947, 0.964
1.0, 0.4, 0.0, 0.865, 0.933, 0.946, 0.938
0.0, 0.2, 0.5, 0.840, 0.944, 0.944, 0.911
0.1, 0.2, 0.0, 0.817, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.850, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.787, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.875, 0.944, 0.947, 0.955
1.0, 0.2, 0.0, 0.851, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.867, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.804, 0.966, 0.947, 0.955
0.1, 0.1, 0.0, 0.845, 0.978, 0.947, 0.964
1.0, 0.2, 0.0, 0.827, 0.966, 0.947, 0.955
0.1, 0.2, 0.0, 0.843, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.888, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.870, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.843, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.842, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.817, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.811, 0.966, 0.947, 0.964
0.1, 0.2, 0.0, 0.833, 0.955, 0.947, 0.955
0.1, 0.1, 0.0, 0.846, 0.989, 0.947, 0.964
1.0, 0.2, 0.0, 0.842, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.896, 0.966, 0.947, 0.955
0.1, 0.1, 0.0, 0.796, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.813, 0.978, 0.947, 0.964
1.0, 0.2, 0.0, 0.859, 0.955, 0.947, 0.955
0.1, 0.2, 0.0, 0.811, 0.966, 0.947, 0.955
0.1, 0.1, 0.0, 0.861, 0.978, 0.947, 0.964
1.0, 0.2, 0.0, 0.843, 0.966, 0.947, 0.955
0.0, 0.2, 0.1, 0.835, 0.966, 0.938, 0.938
0.0, 0.1, 0.1, 0.817, 0.955, 0.922, 0.946
1.0, 0.2, 0.0, 0.840, 0.944, 0.947, 0.955
0.1, 0.1, 0.0, 0.829, 0.978, 0.947, 0.964
1.0, 0.2, 0.0, 0.835, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.802, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.860, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.835, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.837, 0.978, 0.947, 0.955
0.1, 0.2, 0.0, 0.810, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.817, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.827, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.860, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.811, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.796, 0.966, 0.947, 0.964
0.1, 0.2, 0.0, 0.817, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.810, 0.955, 0.947, 0.955
0.1, 0.2, 0.0, 0.861, 0.978, 0.947, 0.955
1.0, 0.2, 0.0, 0.878, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.833, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.851, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.843, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.822, 0.989, 0.947, 0.964
0.0, 0.3, 0.1, 0.842, 0.955, 0.937, 0.929
1.0, 0.1, 0.0, 0.825, 0.955, 0.947, 0.964
0.1, 0.1, 0.0, 0.845, 0.978, 0.947, 0.964
0.1, 0.1, 0.0, 0.843, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.916, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.843, 0.966, 0.947, 0.964
0.0, 0.2, 0.1, 0.842, 0.955, 0.938, 0.938
1.0, 0.2, 0.0, 0.840, 0.944, 0.947, 0.955
1.0, 0.4, 0.0, 0.876, 0.955, 0.946, 0.938
0.1, 0.4, 0.0, 0.827, 0.966, 0.946, 0.938
1.0, 0.1, 0.0, 0.838, 0.989, 0.947, 0.964
1.0, 0.2, 0.0, 0.827, 0.966, 0.947, 0.955
0.1, 0.2, 0.0, 0.896, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.843, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.804, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.811, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.879, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.794, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.780, 0.955, 0.947, 0.964
0.0, 0.2, 0.8, 0.857, 0.944, 0.944, 0.902
1.0, 0.2, 0.0, 0.825, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.792, 0.944, 0.947, 0.955
0.1, 0.2, 0.0, 0.843, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.806, 0.978, 0.947, 0.955
1.0, 0.2, 0.0, 0.829, 0.978, 0.947, 0.955
1.0, 0.2, 0.0, 0.866, 0.944, 0.947, 0.955
1.0, 0.2, 0.0, 0.810, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.819, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.835, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.811, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.850, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.825, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.819, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.884, 0.944, 0.947, 0.955
0.1, 0.2, 0.0, 0.835, 0.966, 0.947, 0.955
0.0, 0.2, 0.2, 0.876, 0.955, 0.936, 0.920
1.0, 0.1, 0.0, 0.860, 0.966, 0.947, 0.964
0.1, 0.2, 0.0, 0.806, 0.978, 0.947, 0.955
0.1, 0.2, 0.0, 0.817, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.837, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.819, 0.966, 0.947, 0.964
0.1, 0.1, 0.0, 0.811, 0.966, 0.947, 0.964
0.0, 0.1, 0.3, 0.875, 0.944, 0.920, 0.929
1.0, 0.1, 0.0, 0.833, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.851, 0.966, 0.947, 0.964
0.1, 0.2, 0.0, 0.802, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.845, 0.978, 0.947, 0.964
0.1, 0.1, 0.0, 0.804, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.851, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.829, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.860, 0.966, 0.947, 0.964
0.1, 0.1, 0.0, 0.775, 0.966, 0.947, 0.964
1.0, 0.3, 0.0, 0.870, 0.978, 0.946, 0.946
1.0, 0.2, 0.0, 0.869, 0.966, 0.947, 0.955
1.0, 0.2, 0.0, 0.816, 0.944, 0.947, 0.955
1.0, 0.3, 0.0, 0.825, 0.955, 0.946, 0.946
1.0, 0.1, 0.0, 0.794, 0.955, 0.947, 0.964
0.1, 0.2, 0.0, 0.861, 0.978, 0.947, 0.955
1.0, 0.0, 0.0, 0.817, 0.955, 0.885, 0.964
0.1, 0.1, 0.0, 0.861, 0.978, 0.947, 0.964
0.0, 0.2, 0.1, 0.825, 0.955, 0.938, 0.938
0.0, 0.2, 0.9, 0.848, 0.944, 0.944, 0.902
0.1, 0.1, 0.0, 0.880, 0.989, 0.947, 0.964
1.0, 0.1, 0.0, 0.829, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.817, 0.955, 0.947, 0.964
0.0, 0.2, 0.1, 0.859, 0.955, 0.938, 0.938
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.1, 0.0, 0.827, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.851, 0.966, 0.947, 0.955
1.0, 0.1, 0.0, 0.821, 0.978, 0.947, 0.964
1.0, 0.1, 0.0, 0.796, 0.966, 0.947, 0.964
1.0, 0.2, 0.0, 0.808, 0.944, 0.947, 0.955
0.1, 0.2, 0.0, 0.837, 0.978, 0.947, 0.955
