phone_threshold,name_threshold,address_threshold,training_data_precision,training_data_recall,test_data_precision,test_data_recall
1.0, 0.2, 0.0, 0.831, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.790, 0.955, 0.947, 0.955
1.0, 0.2, 0.0, 0.842, 0.955, 0.947, 0.955
1.0, 0.1, 0.0, 0.800, 0.955, 0.947, 0.964
1.0, 0.2, 0.0, 0.805, 0.985, 0.947, 0.955
0.1, 0.1, 0.0, 0.793, 0.970, 0.947, 0.964
0.2, 0.3, 0.0, 0.802, 0.970, 0.946, 0.946
0.1, 0.3, 0.0, 0.831, 0.955, 0.946, 0.946
1.0, 0.2, 0.0, 0.842, 0.955, 0.947, 0.955
1.0, 0.8, 0.0, 0.845, 0.896, 0.990, 0.857
1.0, 0.1, 0.0, 0.859, 1.000, 0.947, 0.964
1.0, 0.1, 0.0, 0.844, 0.970, 0.947, 0.964
0.1, 0.1, 0.0, 0.807, 1.000, 0.947, 0.964
0.1, 0.1, 0.0, 0.878, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.736, 0.955, 0.947, 0.964
0.1, 0.1, 0.0, 0.857, 0.985, 0.947, 0.964
0.1, 0.1, 0.0, 0.774, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.855, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.812, 0.970, 0.947, 0.964
0.1, 0.5, 0.0, 0.840, 0.940, 0.944, 0.902
1.0, 0.8, 0.0, 0.909, 0.896, 0.990, 0.857
1.0, 0.8, 0.0, 0.923, 0.896, 0.990, 0.857
1.0, 0.1, 0.0, 0.739, 0.970, 0.947, 0.964
0.1, 0.2, 0.0, 0.867, 0.970, 0.947, 0.955
1.0, 0.2, 0.0, 0.890, 0.970, 0.947, 0.955
1.0, 0.1, 0.0, 0.765, 0.970, 0.947, 0.964
0.1, 0.1, 0.0, 0.835, 0.985, 0.947, 0.964
0.1, 0.2, 0.0, 0.855, 0.970, 0.947, 0.955
0.1, 0.4, 0.0, 0.848, 1.000, 0.946, 0.938
0.3, 0.1, 0.0, 0.859, 1.000, 0.947, 0.964
1.0, 0.2, 0.0, 0.790, 0.955, 0.947, 0.955
0.0, 0.1, 0.4, 0.844, 0.970, 0.928, 0.920
0.0, 0.1, 0.8, 0.805, 0.985, 0.927, 0.911
0.1, 0.1, 0.0, 0.765, 0.970, 0.947, 0.964
1.0, 0.1, 0.0, 0.815, 0.985, 0.947, 0.964
1.0, 0.1, 0.0, 0.793, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.831, 0.955, 0.947, 0.955
0.1, 0.1, 0.0, 0.767, 0.985, 0.947, 0.964
1.0, 0.1, 0.0, 0.853, 0.955, 0.947, 0.964
1.0, 0.1, 0.0, 0.815, 0.985, 0.947, 0.964
0.1, 0.1, 0.0, 0.805, 0.985, 0.947, 0.964
1.0, 0.1, 0.0, 0.753, 0.955, 0.947, 0.964
0.1, 0.2, 0.0, 0.805, 0.985, 0.947, 0.955
0.1, 0.1, 0.0, 0.833, 0.970, 0.947, 0.964
